Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",63.250000,-39.000000,-90.000000,top
"C2","10uF","C_0603_1608Metric",61.400000,-39.025000,-90.000000,top
"C3","100nF","C_0603_1608Metric",59.650000,-39.025000,-90.000000,top
"C4","100nF","C_0603_1608Metric",65.643750,-32.850000,0.000000,top
"C5","22nF","C_0402_1005Metric",69.500000,-57.310000,90.000000,top
"C6","100nF","C_0603_1608Metric",71.250000,-59.025000,90.000000,top
"C7","100nF","C_0603_1608Metric",73.000000,-59.025000,90.000000,top
"C8","47uF","C_0805_2012Metric",62.318750,-32.650000,0.000000,top
"C9","22uF","C_0805_2012Metric",74.900000,-59.000000,90.000000,top
"C10","100nF","C_0402_1005Metric",81.025000,-47.750000,90.000000,top
"C11","10uF","C_0402_1005Metric",73.520000,-55.500000,180.000000,top
"C12","30pF","C_0402_1005Metric",63.300000,-45.020000,90.000000,top
"C13","100nF","C_0402_1005Metric",64.500000,-49.250000,90.000000,top
"C14","30pF","C_0402_1005Metric",63.300000,-48.100000,-90.000000,top
"C15","100nF","C_0402_1005Metric",78.000000,-45.460000,-90.000000,top
"C16","100nF","C_0402_1005Metric",73.520000,-54.250000,180.000000,top
"C17","22nF","C_0402_1005Metric",69.500000,-64.160000,90.000000,top
"C18","100nF","C_0402_1005Metric",76.750000,-45.480000,-90.000000,top
"C19","100nF","C_0603_1608Metric",71.750000,-66.025000,90.000000,top
"C20","100nF","C_0603_1608Metric",73.500000,-66.025000,90.000000,top
"C21","22uF","C_0805_2012Metric",75.500000,-66.000000,90.000000,top
"C22","100nF","C_0402_1005Metric",68.230000,-42.250000,0.000000,top
"C23","10uF","C_0402_1005Metric",68.230000,-41.000000,0.000000,top
"C24","100n","C_0402_1005Metric",73.250000,-38.250000,-90.000000,top
"D1","LED_Small","LED_0603_1608Metric",71.287500,-34.000000,180.000000,top
"L1","3.3uH","L_Sunlord_MWSA0402S",57.918750,-34.500000,90.000000,top
"Q1","AO3400A","SOT-23",86.250000,-54.000000,0.000000,top
"R1","10kOhm","R_0402_1005Metric",59.500000,-58.000000,0.000000,top
"R2","4.7kOhm","R_0402_1005Metric",59.500000,-60.000000,-90.000000,top
"R3","470 Ohm","R_0402_1005Metric",81.000000,-58.500000,90.000000,top
"R4","100 Ohm","R_1206_3216Metric",86.000000,-57.980000,0.000000,top
"R5","33.2kOhm","R_0402_1005Metric",68.100000,-35.090000,-90.000000,top
"R6","10kOhm","R_0402_1005Metric",68.100000,-37.200000,-90.000000,top
"R7","47kOhm","R_0402_1005Metric",83.562500,-54.940000,-90.000000,top
"R8","470 Ohm","R_0402_1005Metric",83.562500,-52.940000,90.000000,top
"R9","47kOhm","R_0402_1005Metric",87.475000,-44.385000,0.000000,top
"R10","1k5 Ohm","R_0402_1005Metric",71.490000,-35.500000,0.000000,top
"R11","10kOhm","R_0402_1005Metric",59.500000,-64.660000,0.000000,top
"R12","4.7kOhm","R_0402_1005Metric",59.750000,-66.580000,-90.000000,top
"R13","10kOhm","R_0402_1005Metric",88.750000,-41.750000,180.000000,top
"R14","10kOhm","R_0402_1005Metric",82.500000,-41.700000,180.000000,top
"R15","10kOhm","R_0402_1005Metric",71.750000,-38.250000,90.000000,top
"SW1","SW_Push","SW_Push_1P1T_XKB_TS-1187A",86.000000,-38.250000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_XKB_TS-1187A",77.750000,-38.250000,180.000000,top
"U1","TLP175A","MFSOP6-4_4.4x3.6mm_P1.27mm",84.250000,-61.750000,0.000000,top
"U2","TPS561208","SOT-23-6",64.618750,-35.550000,0.000000,top
"U3","DRV8874","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm",64.750000,-58.250000,0.000000,top
"U4","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",85.500000,-47.750000,0.000000,top
"U5","DRV8874","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm",64.750000,-65.080000,0.000000,top
"U6","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",70.750000,-48.250000,0.000000,top
"Y1","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",60.750000,-46.500000,-90.000000,top
